address,weighted_balance_wei,weighted_balance,share_pct
0x8915eA6d081B68F80004C579A518fB645DB71aFA,373249650711834681930,373.24965071183468193,0.016347
0xa049AFeF83d112F9B9Ac4E9d743C50aD08EBEe01,364770476942297105153,364.770476942297105153,0.015976
0x71fAD3357C786312d7a2E65623C592d434f3C9Ef,356284821930413908543,356.284821930413908543,0.015604
0x32366846354DB5C08e92b4Ab0D2a510b2a2380C8,351008482387539067718,351.008482387539067718,0.015373
0x186b12Ceaf08FDE22E32647fcc800e45876F5Bd0,341257586600097250909,341.257586600097250909,0.014946
0x7e1E1c5ac70038a9718431C92A618F01f8DADa18,305637955859040474600,305.6379558590404746,0.013386
0xC693B4FFB338579467a541b2bF267B1955870920,300086154309010079073,300.086154309010079073,0.013143
0xddF19863884Be2229E4068f28308A18EbD7ad3Db,286028204533392449007,286.028204533392449007,0.012527
0xDfD3B502b21775B77b126aEf5E463547AEf8cf44,277861149194330675823,277.861149194330675823,0.012169
0xE87a10d5B212D169CCBC9a50Cf5E23DD3da27cb6,276108365862669413365,276.108365862669413365,0.012093
0x63C070E5030ED4389042adf741AAf04459579Eca,272965903989181641375,272.965903989181641375,0.011955
0xe88B921a1e9635A3CbD3FfE5feB93F21DC69ffC8,244013301316549325580,244.01330131654932558,0.010687
0x1f56D887e4Bb5e8e1A11a42388dd6a7Fd576c590,243236759558608507488,243.236759558608507488,0.010653
0x23d914Ab8b9d0564149240a7bB731e485c9d39c6,231140794905945009702,231.140794905945009702,0.010123
0x5DB24fDBF4b80EEAd68553B8d9018d4E30C63Fb4,231140603935070243397,231.140603935070243397,0.010123
0x226d7DcBB49D2739f89624F152453fbfAC59BB2E,207722986061093030916,207.722986061093030916,0.009098
0xC420083fb75f3B5D603e6cEF703A678338b18E7D,205405708463541827663,205.405708463541827663,0.008996
0x82D2FE1072b1022D377F1E123A6E458782e5B5d4,203185193110000000000,203.18519311,0.008899
0x68CE734cd47dbd7e940c25A557446276a763F46d,186017481428294929442,186.017481428294929442,0.008147
0x7140a66b7fD6340075fFF82F160305b089f5F117,174884300000000000000,174.8843,0.007659
0xABc8a895c10d516E673fcDBFA25ee1836F1E3FAa,154498020730890165350,154.49802073089016535,0.006766
0x135a200ab2e3FedD555cB0934F558e2A6Ea92560,144900441753156500478,144.900441753156500478,0.006346
0xa08ac5eF97057bc2Bd80F7c703Cd013E6fe6c860,139787754000547647747,139.787754000547647747,0.006122
0xEC2eda1C4F981E468ABF62424a10B69B738b498E,138347859555577421001,138.347859555577421001,0.006059
0x3bf1628F3486F4c26A3755e8E33739b9d610C5be,131973528132715509679,131.973528132715509679,0.005780
0xe6f96080dC1f51ce39476FFcFa5314d88b5fCD72,110843287737408740153,110.843287737408740153,0.004855
0xA613877f3A2A73D67c313fB43B740C5f877E98B9,104811299781552505364,104.811299781552505364,0.004590
0x330D2a845d2dF4E329034d72719C7c53F9C1f87A,95136179570624357933,95.136179570624357933,0.004167
0x5Ba323cC3E4B01DeD640fC78c8948DCfB8f298Cd,82910732074242310578,82.910732074242310578,0.003631
0xb734Ec7A75d65406fde5bcf9156cAB673ba1e1C5,80498118433749538509,80.498118433749538509,0.003526
0x59aad2C81b86df6E4A0Dae51c5C5bd45Ba451875,80000000000000000000,80,0.003504
0xf87f7d563558bebF1031bcF09ba6ca60097Cc7AB,77375329793012458071,77.375329793012458071,0.003389
0xfC4B2a62A06cb2E1C6A743E9aE327Bb16977E4c1,77208172550223103998,77.208172550223103998,0.003381
0xc00C2CE5B538436d2d8f053c39da2b4dff08148d,73819164326513589348,73.819164326513589348,0.003233
